Type;FSVR-7;
Version;2.23 SP1;
Date;22.Sep 21;
Mode;ANALYZER;
Center Freq;199978.130000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;199978.130000;Hz
Stop;199978.130000;Hz
Ref Level;-14.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;50.000000;Hz
VBW;50.000000;Hz
SWT;30.000000;s
Trace Mode;VIEW;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
0.051562500000000039;-86.874778747558594;-86.874778747558594
0.05250000000000004;-88.265571594238281;-88.265571594238281
0.053437500000000041;-88.860862731933594;-88.860862731933594
0.054375000000000041;-89.59912109375;-89.59912109375
0.055312500000000042;-89.564201354980469;-89.564201354980469
0.056250000000000043;-89.069107055664063;-89.069107055664063
0.057187500000000044;-88.429489135742187;-88.429489135742187
0.058125000000000045;-87.783477783203125;-87.783477783203125
0.059062500000000046;-87.217292785644531;-87.217292785644531
0.060000000000000046;-86.783302307128906;-86.783302307128906
0.060937500000000047;-86.50885009765625;-86.50885009765625
0.061875000000000048;-86.403892517089844;-86.403892517089844
0.062812500000000049;-86.413528442382813;-86.413528442382813
0.063750000000000043;-86.545196533203125;-86.545196533203125
0.064687500000000037;-86.796966552734375;-86.796966552734375
0.065625000000000031;-87.104194641113281;-87.104194641113281
0.066562500000000024;-87.377166748046875;-87.377166748046875
0.067500000000000018;-87.520057678222656;-87.520057678222656
0.068437500000000012;-87.38543701171875;-87.38543701171875
0.069375000000000006;-87.085258483886719;-87.085258483886719
0.0703125;-86.688560485839844;-86.688560485839844
0.071249999999999994;-86.268035888671875;-86.268035888671875
0.072187499999999988;-85.890846252441406;-85.890846252441406
0.073124999999999982;-85.614028930664062;-85.614028930664062
0.074062499999999976;-85.482650756835938;-85.482650756835938
0.074999999999999969;-85.4822998046875;-85.4822998046875
0.075937499999999963;-85.631515502929688;-85.631515502929688
0.076874999999999957;-86.003860473632813;-86.003860473632813
0.077812499999999951;-86.628562927246094;-86.628562927246094
0.078749999999999945;-87.539131164550781;-87.539131164550781
0.079687499999999939;-88.783287048339844;-88.783287048339844
0.080624999999999933;-90.413330078125;-90.413330078125
0.081562499999999927;-92.400436401367188;-92.400436401367188
0.082499999999999921;-93.418006896972656;-93.418006896972656
0.083437499999999915;-95.005630493164062;-95.005630493164062
0.084374999999999908;-95.655548095703125;-95.655548095703125
0.085312499999999902;-95.29425048828125;-95.29425048828125
0.086249999999999896;-94.589080810546875;-94.589080810546875
0.08718749999999989;-93.735206604003906;-93.735206604003906
0.088124999999999884;-92.835601806640625;-92.835601806640625
0.089062499999999878;-91.943099975585937;-91.943099975585937
0.089999999999999872;-91.084709167480469;-91.084709167480469
0.090937499999999866;-90.270347595214844;-90.270347595214844
0.09187499999999986;-89.503372192382813;-89.503372192382813
0.092812499999999853;-88.787017822265625;-88.787017822265625
0.093749999999999847;-88.125267028808594;-88.125267028808594
0.094687499999999841;-87.524330139160156;-87.524330139160156
0.095624999999999835;-86.99444580078125;-86.99444580078125
0.096562499999999829;-86.543182373046875;-86.543182373046875
0.097499999999999823;-86.179229736328125;-86.179229736328125
0.098437499999999817;-85.907661437988281;-85.907661437988281
0.099374999999999811;-85.727676391601563;-85.727676391601563
0.1003124999999998;-85.634117126464844;-85.634117126464844
0.1012499999999998;-85.616798400878906;-85.616798400878906
