Format,1.0B,
Memory Length,10000,Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,IntpDistance,0,
Trigger Address,-2251,Trigger Address,-2251,Trigger Address,-2251,
Trigger Level,-3.200E-01,Trigger Level,-3.200E-01,Trigger Level,-3.200E-01,
Source,CH2,Source,CH3,Source,CH4,
Vertical Units,V,Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,15,Vertical Units Extend Div,15,Vertical Units Extend Div,15,
Label, ,Label, ,Label, ,
Probe Type,0,Probe Type,0,Probe Type,0,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,Vertical Scale,5.000E-02,Vertical Scale,2.000E+00,
Vertical Position,2.840E+00,Vertical Position,2.000E-01,Vertical Position,-8.000E-02,
Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-04,Horizontal Scale,5.000E-04,Horizontal Scale,5.000E-04,
Horizontal Position,3.625E-03,Horizontal Position,3.625E-03,Horizontal Position,3.625E-03,
Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,5.000E-07,Sampling Period,5.000E-07,Sampling Period,5.000E-07,
Horizontal Old Scale,5.000E-04,Horizontal Old Scale,5.000E-04,Horizontal Old Scale,5.000E-04,
Horizontal Old Position,3.625E-03,Horizontal Old Position,3.625E-03,Horizontal Old Position,3.625E-03,
Firmware,V1.09,Firmware,V1.09,Firmware,V1.09,
Mode,Detail,Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,Waveform Data,,
1.178000e-03,2.720000,1.178000e-03,-0.004000,1.178000e-03,1.760000,
1.178500e-03,2.720000,1.178500e-03,-0.012000,1.178500e-03,1.760000,
1.179000e-03,2.720000,1.179000e-03,-0.020000,1.179000e-03,1.680000,
1.179500e-03,2.720000,1.179500e-03,-0.004000,1.179500e-03,1.760000,
1.180000e-03,2.720000,1.180000e-03,-0.014000,1.180000e-03,1.760000,
1.180500e-03,2.720000,1.180500e-03,-0.012000,1.180500e-03,1.760000,
1.181000e-03,2.720000,1.181000e-03,-0.008000,1.181000e-03,1.680000,
1.181500e-03,2.720000,1.181500e-03,-0.006000,1.181500e-03,1.680000,
1.182000e-03,2.720000,1.182000e-03,-0.016000,1.182000e-03,1.760000,
1.182500e-03,2.760000,1.182500e-03,-0.012000,1.182500e-03,1.760000,
1.183000e-03,2.760000,1.183000e-03,-0.008000,1.183000e-03,1.760000,
1.183500e-03,2.760000,1.183500e-03,-0.014000,1.183500e-03,1.760000,
1.184000e-03,2.760000,1.184000e-03,-0.022000,1.184000e-03,1.760000,
1.184500e-03,2.720000,1.184500e-03,-0.012000,1.184500e-03,1.760000,
1.185000e-03,2.720000,1.185000e-03,-0.016000,1.185000e-03,1.760000,
1.185500e-03,2.720000,1.185500e-03,-0.020000,1.185500e-03,1.760000,
1.186000e-03,2.720000,1.186000e-03,-0.012000,1.186000e-03,1.760000,
1.186500e-03,2.760000,1.186500e-03,-0.020000,1.186500e-03,1.760000,
1.187000e-03,2.720000,1.187000e-03,-0.016000,1.187000e-03,1.760000,
1.187500e-03,2.720000,1.187500e-03,-0.016000,1.187500e-03,1.760000,
1.188000e-03,2.720000,1.188000e-03,-0.016000,1.188000e-03,1.760000,
1.188500e-03,2.720000,1.188500e-03,-0.016000,1.188500e-03,1.760000,
1.189000e-03,2.720000,1.189000e-03,-0.004000,1.189000e-03,1.760000,
1.189500e-03,2.760000,1.189500e-03,-0.012000,1.189500e-03,1.760000,
1.190000e-03,2.720000,1.190000e-03,-0.022000,1.190000e-03,1.760000,
1.190500e-03,2.760000,1.190500e-03,-0.012000,1.190500e-03,1.760000,
1.191000e-03,2.760000,1.191000e-03,-0.020000,1.191000e-03,1.760000,
1.191500e-03,2.720000,1.191500e-03,-0.016000,1.191500e-03,1.760000,
1.192000e-03,2.720000,1.192000e-03,-0.008000,1.192000e-03,1.760000,
1.192500e-03,2.760000,1.192500e-03,-0.008000,1.192500e-03,1.760000,
1.193000e-03,2.720000,1.193000e-03,-0.016000,1.193000e-03,1.760000,
1.193500e-03,2.760000,1.193500e-03,-0.016000,1.193500e-03,1.760000,
1.194000e-03,2.720000,1.194000e-03,-0.020000,1.194000e-03,1.760000,
1.194500e-03,2.720000,1.194500e-03,-0.016000,1.194500e-03,1.760000,
1.195000e-03,2.720000,1.195000e-03,-0.008000,1.195000e-03,1.760000,
1.195500e-03,2.720000,1.195500e-03,-0.004000,1.195500e-03,1.760000,
1.196000e-03,2.720000,1.196000e-03,-0.012000,1.196000e-03,1.760000,
1.196500e-03,2.720000,1.196500e-03,-0.014000,1.196500e-03,1.760000,
1.197000e-03,2.720000,1.197000e-03,-0.020000,1.197000e-03,1.760000,
1.197500e-03,2.720000,1.197500e-03,-0.012000,1.197500e-03,1.760000,
1.198000e-03,2.720000,1.198000e-03,-0.012000,1.198000e-03,1.760000,
1.198500e-03,2.720000,1.198500e-03,-0.014000,1.198500e-03,1.760000,
1.199000e-03,2.720000,1.199000e-03,-0.024000,1.199000e-03,1.760000,
1.199500e-03,2.720000,1.199500e-03,-0.020000,1.199500e-03,1.760000,
1.200000e-03,2.720000,1.200000e-03,-0.014000,1.200000e-03,1.760000,
1.200500e-03,2.760000,1.200500e-03,-0.016000,1.200500e-03,1.760000,
1.201000e-03,2.720000,1.201000e-03,-0.016000,1.201000e-03,1.760000,
1.201500e-03,2.760000,1.201500e-03,-0.020000,1.201500e-03,1.760000,
1.202000e-03,2.720000,1.202000e-03,-0.020000,1.202000e-03,1.760000,
1.202500e-03,2.760000,1.202500e-03,-0.028000,1.202500e-03,1.760000,
1.203000e-03,2.720000,1.203000e-03,-0.008000,1.203000e-03,1.760000,
1.203500e-03,2.720000,1.203500e-03,-0.020000,1.203500e-03,1.760000,
1.204000e-03,2.720000,1.204000e-03,-0.014000,1.204000e-03,1.760000,
1.204500e-03,2.720000,1.204500e-03,-0.032000,1.204500e-03,1.760000,
1.205000e-03,2.760000,1.205000e-03,-0.022000,1.205000e-03,1.760000,
1.205500e-03,2.720000,1.205500e-03,-0.016000,1.205500e-03,1.760000,
1.206000e-03,2.720000,1.206000e-03,-0.014000,1.206000e-03,1.760000,
1.206500e-03,2.720000,1.206500e-03,-0.022000,1.206500e-03,1.760000,
1.207000e-03,2.720000,1.207000e-03,-0.022000,1.207000e-03,1.760000,
1.207500e-03,2.720000,1.207500e-03,-0.022000,1.207500e-03,1.760000,
1.208000e-03,2.760000,1.208000e-03,-0.022000,1.208000e-03,1.760000,
1.208500e-03,2.720000,1.208500e-03,-0.016000,1.208500e-03,1.760000,
1.209000e-03,2.720000,1.209000e-03,-0.020000,1.209000e-03,1.760000,
1.209500e-03,2.720000,1.209500e-03,-0.024000,1.209500e-03,1.760000,
1.210000e-03,2.760000,1.210000e-03,-0.020000,1.210000e-03,1.760000,
1.210500e-03,2.760000,1.210500e-03,-0.014000,1.210500e-03,1.760000,
1.211000e-03,2.720000,1.211000e-03,-0.014000,1.211000e-03,1.760000,
1.211500e-03,2.720000,1.211500e-03,-0.030000,1.211500e-03,1.760000,
1.212000e-03,2.720000,1.212000e-03,-0.024000,1.212000e-03,1.760000,
1.212500e-03,2.720000,1.212500e-03,-0.014000,1.212500e-03,1.760000,
1.213000e-03,2.720000,1.213000e-03,-0.014000,1.213000e-03,1.760000,
1.213500e-03,2.760000,1.213500e-03,-0.016000,1.213500e-03,1.760000,
1.214000e-03,2.720000,1.214000e-03,-0.012000,1.214000e-03,1.760000,
1.214500e-03,2.760000,1.214500e-03,-0.008000,1.214500e-03,1.760000,
1.215000e-03,2.720000,1.215000e-03,-0.024000,1.215000e-03,1.760000,
1.215500e-03,2.760000,1.215500e-03,-0.016000,1.215500e-03,1.760000,
1.216000e-03,2.760000,1.216000e-03,-0.024000,1.216000e-03,1.760000,
1.216500e-03,2.720000,1.216500e-03,-0.024000,1.216500e-03,1.760000,
1.217000e-03,2.720000,1.217000e-03,-0.030000,1.217000e-03,1.760000,
1.217500e-03,2.720000,1.217500e-03,-0.012000,1.217500e-03,1.760000,
1.218000e-03,2.720000,1.218000e-03,-0.024000,1.218000e-03,1.760000,
1.218500e-03,2.720000,1.218500e-03,-0.024000,1.218500e-03,1.760000,
1.219000e-03,2.720000,1.219000e-03,-0.014000,1.219000e-03,1.760000,
1.219500e-03,2.720000,1.219500e-03,-0.028000,1.219500e-03,1.840000,
1.220000e-03,2.720000,1.220000e-03,-0.028000,1.220000e-03,1.840000,
1.220500e-03,2.720000,1.220500e-03,-0.016000,1.220500e-03,1.840000,
1.221000e-03,2.720000,1.221000e-03,-0.028000,1.221000e-03,1.840000,
1.221500e-03,2.720000,1.221500e-03,-0.020000,1.221500e-03,1.840000,
1.222000e-03,2.720000,1.222000e-03,-0.008000,1.222000e-03,1.840000,
1.222500e-03,2.720000,1.222500e-03,-0.028000,1.222500e-03,1.840000,
1.223000e-03,2.760000,1.223000e-03,-0.024000,1.223000e-03,1.840000,
1.223500e-03,2.720000,1.223500e-03,-0.020000,1.223500e-03,1.760000,
1.224000e-03,2.720000,1.224000e-03,-0.014000,1.224000e-03,1.840000,
1.224500e-03,2.720000,1.224500e-03,-0.020000,1.224500e-03,1.840000,
1.225000e-03,2.720000,1.225000e-03,-0.024000,1.225000e-03,1.840000,
1.225500e-03,2.720000,1.225500e-03,-0.020000,1.225500e-03,1.840000,
1.226000e-03,2.760000,1.226000e-03,-0.022000,1.226000e-03,1.840000,
1.226500e-03,2.760000,1.226500e-03,-0.016000,1.226500e-03,1.840000,
1.227000e-03,2.760000,1.227000e-03,-0.006000,1.227000e-03,1.840000,
1.227500e-03,2.760000,1.227500e-03,-0.028000,1.227500e-03,1.840000,
1.228000e-03,2.760000,1.228000e-03,-0.022000,1.228000e-03,1.840000,
1.228500e-03,2.760000,1.228500e-03,-0.024000,1.228500e-03,1.840000,
1.229000e-03,2.720000,1.229000e-03,-0.028000,1.229000e-03,1.840000,
1.229500e-03,2.720000,1.229500e-03,-0.030000,1.229500e-03,1.840000,
